Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\http\request.py                                                         308    170    45%
myvenv\Lib\site-packages\django\http\response.py                                                        273    124    55%
myvenv\Lib\site-packages\django\middleware\__init__.py                                                    0      0   100%
myvenv\Lib\site-packages\django\middleware\cache.py                                                      76     63    17%
myvenv\Lib\site-packages\django\middleware\clickjacking.py                                               12      2    83%
myvenv\Lib\site-packages\django\middleware\common.py                                                     76     41    46%
myvenv\Lib\site-packages\django\middleware\csrf.py                                                      143     87    39%
myvenv\Lib\site-packages\django\middleware\security.py                                                   33     10    70%
myvenv\Lib\site-packages\django\shortcuts.py                                                             55     40    27%
myvenv\Lib\site-packages\django\template\__init__.py                                                     10      0   100%
myvenv\Lib\site-packages\django\template\backends\__init__.py                                             0      0   100%
myvenv\Lib\site-packages\django\template\backends\base.py                                                29     13    55%
myvenv\Lib\site-packages\django\template\backends\django.py                                              74     15    80%
myvenv\Lib\site-packages\django\template\backends\jinja2.py                                              63     62     2%
myvenv\Lib\site-packages\django\template\base.py                                                        542    246    55%
myvenv\Lib\site-packages\django\template\context.py                                                     169     44    74%
myvenv\Lib\site-packages\django\template\context_processors.py                                           30     13    57%
myvenv\Lib\site-packages\django\template\defaultfilters.py                                              439    315    28%
myvenv\Lib\site-packages\django\template\defaulttags.py                                                 636    452    29%
myvenv\Lib\site-packages\django\template\engine.py                                                      111     27    76%
myvenv\Lib\site-packages\django\template\exceptions.py                                                   12      0   100%
myvenv\Lib\site-packages\django\template\library.py                                                     175     90    49%
myvenv\Lib\site-packages\django\template\loader.py                                                       32     17    47%
myvenv\Lib\site-packages\django\template\loader_tags.py                                                 187     83    56%
myvenv\Lib\site-packages\django\template\loaders\__init__.py                                              0      0   100%
myvenv\Lib\site-packages\django\template\loaders\app_directories.py                                       5      0   100%
myvenv\Lib\site-packages\django\template\loaders\base.py                                                 21      5    76%
myvenv\Lib\site-packages\django\template\loaders\cached.py                                               45     12    73%
myvenv\Lib\site-packages\django\template\loaders\filesystem.py                                           23      2    91%
myvenv\Lib\site-packages\django\template\response.py                                                     66     46    30%
myvenv\Lib\site-packages\django\template\smartif.py                                                     107     64    40%
myvenv\Lib\site-packages\django\template\utils.py                                                        64      7    89%
myvenv\Lib\site-packages\django\templatetags\__init__.py                                                  0      0   100%
myvenv\Lib\site-packages\django\templatetags\cache.py                                                    52     44    15%
myvenv\Lib\site-packages\django\templatetags\i18n.py                                                    271    226    17%
myvenv\Lib\site-packages\django\templatetags\l10n.py                                                     30     20    33%
myvenv\Lib\site-packages\django\templatetags\static.py                                                   74     32    57%
myvenv\Lib\site-packages\django\templatetags\tz.py                                                       79     57    28%
myvenv\Lib\site-packages\django\test\__init__.py                                                          4      0   100%
myvenv\Lib\site-packages\django\test\client.py                                                          351    188    46%
myvenv\Lib\site-packages\django\test\html.py                                                            161    129    20%
myvenv\Lib\site-packages\django\test\runner.py                                                          361    177    51%
myvenv\Lib\site-packages\django\test\signals.py                                                         122     92    25%
myvenv\Lib\site-packages\django\test\testcases.py                                                       679    459    32%
myvenv\Lib\site-packages\django\test\utils.py                                                           460    266    42%
myvenv\Lib\site-packages\django\urls\__init__.py                                                          7      0   100%
myvenv\Lib\site-packages\django\urls\base.py                                                            100     75    25%
myvenv\Lib\site-packages\django\urls\conf.py                                                             38      9    76%
